"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude","X"
"78604",2020-08-31,"","","","","0","","","rename it to International UFO ......  ((NUFORC Note:  That name is taken&#44 already.  PD))",0,0,0
"79150",2020-08-04,"","","","","0","oval","3 seconds","This was seen in the background of Discovery Channel footage on thunder clouds.",0,0,0
"79944",2020-08-07,"","","","","0","other","30","One light bright as a star travled clockwise unkown pattern speeding up and slowing down",0,0,0
"80155",2020-08-08,"","","","","0","unknown","5 sec","&quot;stars&quot; above the ocean zig zagging at incredible speed",0,0,0
"80381",2020-08-09,"","","","","0","sphere","5 min","I saw 4 times an OVNI and I have a video",0,0,0
"80420",2020-08-09,"","wv","","","0","circle","","((HOAX??))  Yellow ball with black circles moving around.",0,0,0
"80502",2020-08-09,"","","","","0","triangle","at least 2 hours","Multiple triangular shaped UFOs above the southern California desert",0,0,0
"82070",2020-09-13,"","","","","0","","","Curious to know if any sightings reported near Kennerdell&#44 PA 9/13/03 and 9/17/03.  I viewed along with seven other witnesses a large o",0,0,0
"82565",2019-09-15,"","ky","","","0","disk","?","craft had light under it and hovered over the neighborhood area of vacant land(09/74) (10/74)",0,0,0
"86122",2020-09-26,"","","","","0","","","This is not a Ufo report.  It&#39s the only way I see to contact you.First of all I really have enjoyed listening to you over the year",0,0,0
"87217",2020-09-30,"","","","","0","","","I was checking out the reported UFO in the sky&#44at Jacksonville&#44TX from my I-Phone4 map on Sept.31&#442012 at 11 pm.  I saw the he same thi",0,0,0
"87578",2020-09-04,"","","","","0","","30 seconds","Dark mass moved at speed across Corsica sky",0,0,0
