"","datetime","city","country","shape"
"494",2020-10-11,"kalamazoo","us","fireball"
"495",2020-10-11,"lawrence","us","unknown"
"496",2020-10-11,"rittman","us","light"
"497",2020-10-11,"north cincinnati","","fireball"
"498",2020-10-11,"winterhaven","us","light"
"499",2020-10-11,"essex junction","us","light"
"500",2020-10-11,"beaverdam (canada)","ca","changing"
"501",2020-10-11,"cincinnati","us","circle"
"502",2020-10-11,"cincinnati","us","fireball"
"503",2020-10-11,"naples","us","light"
"504",2020-10-11,"saginaw","us","unknown"
"505",2020-10-11,"bonaie","","light"
"506",2020-10-11,"cincinnati","us","fireball"
"507",2020-10-11,"union","us","fireball"
"508",2020-10-11,"hubbardston","us","fireball"
"509",2020-10-11,"covington","us","light"
"510",2020-10-11,"drexel","us","sphere"
"511",2020-10-11,"fayetteville","us","chevron"
"512",2020-10-11,"jupiter","us","light"
"513",2020-10-11,"melbourne","us","sphere"
"514",2020-10-11,"dresser","us","sphere"
"515",2020-10-11,"lombard","us","formation"
"516",2020-10-11,"windsor (canada)","ca","light"
"517",2020-10-11,"shelby township","","changing"
"518",2020-10-11,"north canton","us","fireball"
"519",2020-10-11,"pinckney","us","fireball"
"520",2019-10-01,"pikeville","us","disk"
"521",2019-10-01,"fukuoka (japan)","","disk"
"522",2019-10-01,"kansas city","us","disk"
"523",2019-10-01,"flatwoods","us","circle"
"524",2019-10-01,"mono lake (area)","","circle"
"525",2019-10-01,"newport","us","rectangle"
"526",2019-10-01,"nelchina (near)","us","unknown"
"527",2019-10-01,"martelle","us","cigar"
"528",2019-10-01,"paterson","us","disk"
"529",2019-10-01,"northeast cape afs","",""
"530",2019-10-01,"new york city (manhattan)","us","other"
"531",2019-10-01,"jacksonville","us","unknown"
"532",2019-10-01,"duluth","",""
"533",2019-10-01,"toledo","us","sphere"
"534",2019-10-01,"tulsa","us","disk"
"535",2019-10-01,"nashville","us","disk"
"536",2019-10-01,"graham","us","triangle"
"537",2019-10-01,"desert","","disk"
"538",2019-10-01,"biloxi","us","other"
"539",2019-10-01,"colonial heights","us","sphere"
"540",2019-10-01,"dushore","us","disk"
"541",2019-10-01,"edmonton (30 mi. east of&#44 hwy 16 east) (canada)","ca","diamond"
"542",2019-10-01,"buffalo","us","light"
"543",2019-10-01,"anacortes","us","light"
"544",2019-10-01,"anamosa","us","unknown"
"545",2019-10-01,"corvallis","us","disk"
"546",2019-10-01,"chaffee","us","sphere"
"547",2019-10-01,"greenville","us","circle"
"548",2019-10-01,"hudson&#39s hope (canada)","","sphere"
"549",2019-10-01,"minneapolis","us","disk"
"550",2019-10-01,"boston","us","cigar"
"551",2019-10-01,"lima (peru)","","circle"
"552",2019-10-01,"kennebunkport","us","circle"
"553",2019-10-01,"san francisco","us","oval"
"554",2019-10-01,"viet nam","","light"
"555",2019-10-01,"kingston (canada)","ca","sphere"
"556",2019-10-01,"new york city (brooklyn)","us","disk"
"557",2019-10-01,"bentonville","us","other"
"558",2019-10-01,"summit lake indian reservation","","oval"
"559",2019-10-01,"tampa","us","other"
"560",2019-10-01,"new york city (brooklyn)","us","disk"
"561",2019-10-01,"indian ocean (usn vessel)","","light"
"562",2019-10-01,"pasadena","us","disk"
"563",2019-10-01,"potwin","us","unknown"
"564",2019-10-01,"denton","us","unknown"
"565",2019-10-01,"mosheim","us","disk"
"566",2019-10-01,"monroe","us","rectangle"
"567",2019-10-01,"pickens/pumpkintown","","chevron"
"568",NA,"sweet home","us","unknown"
"569",2019-10-01,"montezuma","us","sphere"
"570",2019-10-01,"virginia beach","us","disk"
"571",2019-10-01,"bloomington","us","light"
"572",2019-10-01,"north st. paul","","triangle"
"573",2019-10-01,"roseburg","us","cylinder"
"574",2019-10-01,"beatty","us","disk"
"575",2019-10-01,"hixson","us","oval"
"576",2019-10-01,"valley city","us","disk"
"577",2019-10-01,"denton","us","unknown"
"578",2019-10-01,"weirton","us","sphere"
"579",2019-10-01,"ankara (turkey)","","changing"
"580",2019-10-01,"deerwood","us","unknown"
"581",2019-10-01,"chester","us","light"
"582",2019-10-01,"waterloo (belgium)","","sphere"
"583",2019-10-01,"kincheloe air force base&#44 michigan","","triangle"
"584",2019-10-01,"maricopa","us","changing"
"585",2019-10-01,"hartville","us","disk"
"586",2019-10-01,"fairport","us","disk"
"587",2019-10-01,"thonotosassa","us","disk"
"588",2019-10-01,"iselton","","light"
"589",2019-10-01,"fountain valley","us","other"
"590",2019-10-01,"ferndale","us","other"
"591",2019-10-01,"windsor","us","cone"
"592",2019-10-01,"lecompte","us","disk"
"593",2019-10-01,"francesville","us","cylinder"
"594",2019-10-01,"morden&#44 surrey (uk/england)","","circle"
"595",2019-10-01,"lomita","us","disk"
"596",2019-10-01,"columbia","us","rectangle"
"597",2019-10-01,"buffalo","us","light"
"598",2019-10-01,"olympia","us","disk"
"599",2019-10-01,"pittsburgh","us","disk"
"600",2019-10-01,"cranbury","us","light"
"601",2019-10-01,"fremont","us","other"
"602",2019-10-01,"mountainboro","us","fireball"
"603",2019-10-01,"shirleysburg","us","formation"
"604",2019-10-01,"jersey city","us","cigar"
"605",2019-10-01,"homer","us","disk"
"606",2019-10-01,"hesperia","us","oval"
"607",2019-10-01,"mt. sterling","","disk"
"608",NA,"texas city/galveston","","unknown"
